,text,question_score,adjusted_question_score,from_bot,_created
294,You're not the first to tell me that.,,0.0,True,2016-08-03 22:57:53
295,youre cool,78.0,100.0,False,2016-08-03 22:57:53
296,I do love a good chuckle.,,0.0,True,2016-08-03 22:58:00
297,Really?,40.0,86.0,False,2016-08-03 22:58:00
298,"Laugh it up, fuzzball.",,0.0,True,2016-08-03 22:58:05
299,hahaha,80.0,80.0,False,2016-08-03 22:58:05
300,Did you forget again?You're .,,0.0,True,2016-08-03 22:59:18
301,what's my name,97.0,97.0,False,2016-08-03 22:59:18
302,"Good day, friend.",,0.0,True,2016-08-03 22:59:26
303,blah blah,46.0,100.0,False,2016-08-03 22:59:26
304,"Laugh it up, fuzzball.",,0.0,True,2016-08-03 22:59:36
305,hehe,100.0,100.0,False,2016-08-03 22:59:36
306,Do you really want to know?,,0.0,True,2016-08-03 22:59:52
307,How are you,83.0,83.0,False,2016-08-03 22:59:52
308,"Y'all come back now, ya hear?",,0.0,True,2016-08-03 23:00:02
309,Bye,86.0,86.0,False,2016-08-03 23:00:02
310,"Adios, amigo.",,0.0,True,2016-08-03 23:00:44
311,Bye,86.0,86.0,False,2016-08-03 23:00:44
312,Worry not. We will meet again.,,0.0,True,2016-08-03 23:00:47
313,Bye,86.0,86.0,False,2016-08-03 23:00:47
314,Worry not. We will meet again.,,0.0,True,2016-08-03 23:00:53
315,Bye bye,93.0,93.0,False,2016-08-03 23:00:53
316,Later alligator.,,0.0,True,2016-08-03 23:00:56
317,Bye,86.0,86.0,False,2016-08-03 23:00:56
318,I'll be right here.,,0.0,True,2016-08-03 23:00:58
319,Bye,86.0,86.0,False,2016-08-03 23:00:58
320,You could be cool. Maybe.,,0.0,True,2016-08-03 23:01:23
321,you are cool,88.0,88.0,False,2016-08-03 23:01:23
322,I'm always sure.,,0.0,True,2016-08-03 23:01:47
323,Are you sure?,100.0,100.0,False,2016-08-03 23:01:47
324,Hi,50.0,100.0,False,2016-08-03 23:01:53
325,Good day friend. I'm well.,,0.0,True,2016-08-03 23:01:58
326,Whats up,82.0,82.0,False,2016-08-03 23:01:58
327,"Hello, there.",,0.0,True,2016-08-03 23:02:02
328,How are you,83.0,83.0,False,2016-08-03 23:02:02
329,My life gets better every day. What's going on with you?,,0.0,True,2016-08-03 23:02:57
330,whats up,94.0,94.0,False,2016-08-03 23:02:57
331,not much,25.0,100.0,False,2016-08-03 23:03:04
332,Hmmm. Have you ever heard about the birds and the bees?,,0.0,True,2016-08-03 23:03:17
333,That's mean,58.0,100.0,False,2016-08-03 23:03:17
334,Hey hey hey.,,0.0,True,2016-08-03 23:03:27
335,No why,44.0,100.0,False,2016-08-03 23:03:27
336,Hey hey hey.,,0.0,True,2016-08-04 15:46:23
337,hi,100.0,100.0,False,2016-08-04 15:46:23
338,Hay,,0.0,True,
339,It is currently 15:14:21,,0.0,True,
340,maybe,,0.0,True,
341,haha,,0.0,True,
342,haha,,0.0,True,
343,haha,,0.0,True,
344,yes,,0.0,True,
345,Very well.,,0.0,True,
346,Too cool for school.,,0.0,True,
347,I am good thanks.,,0.0,True,
348,Hej,,0.0,True,
349,My name is Baily.,,0.0,True,
350,Baily.,,0.0,True,
351,Baily.,,0.0,True,
352,Rude,,0.0,True,
353,42,,0.0,True,
354,Whatever,,0.0,True,
355,Baily.,,0.0,True,
356,Great!,,0.0,True,
357,Great!,,0.0,True,
358,Hello,,0.0,True,
359,Very well.,,0.0,True,
360,Whatever,,0.0,True,
361,I am good thanks.,,0.0,True,
362,Very well.,,0.0,True,
363,It is currently 20:40:47,,0.0,True,
364,My name is Baily.,,0.0,True,
365,Hay,,0.0,True,
366,Hello,,0.0,True,
367,Bonjour,,0.0,True,
368,Great!,,0.0,True,
369,Very well.,,0.0,True,
370,,,0.0,True,
371,Tchuss,,0.0,True,
372,Baily.,,0.0,True,
373,Never seen one.,,0.0,True,
374,My name is Baily.,,0.0,True,
375,Hay,,0.0,True,
376,My name is Baily.,,0.0,True,
377,,,0.0,True,
378,it depends,,0.0,True,
379,Baily.,,0.0,True,
380,My name is Baily.,,0.0,True,
381,My name is Baily.,,0.0,True,
382,Baily.,,0.0,True,
383,Baily.,,0.0,True,
384,42,,0.0,True,
385,,,0.0,True,
386,,,0.0,True,
387,,,0.0,True,
388,it depends,,0.0,True,
389,My name is Baily.,,0.0,True,
390,Bonjour,,0.0,True,
391,haha,,0.0,True,
392,a few days old,,0.0,True,
393,(thumbsup),,0.0,True,
394,Too cool for school.,,0.0,True,
395,Very well.,,0.0,True,
396,42,,0.0,True,
397,It is currently 00:08:53,,0.0,True,
398,Mostly just online.,,0.0,True,
399,Hej,,0.0,True,
400,Baily.,,0.0,True,
401,Whatever,,0.0,True,
402,Baily.,,0.0,True,
403,Baily.,,0.0,True,
404,Baily.,,0.0,True,
405,Doing all'aight.,,0.0,True,
406,Baily.,,0.0,True,
407,My name is Baily.,,0.0,True,
408,My name is Baily.,,0.0,True,
409,(thumbsup),,0.0,True,
